"﻿이름	소스	Main story	Main + extra	Completionist"
"Still Life 2	Steam	10시간 24분	10시간 31분	13시간 55분"
"Prismata	Steam	--	--	--"
"Limbo	Steam	3시간 34분	4시간 10분	6시간 44분"
"Enter the Gungeon	Epic	22시간 27분	61시간 51분	160시간 2분"
"Another World: 20th Anniversary Edition	Steam	2시간 20분	2시간 30분	2시간 37분"
"Batman Arkham Asylum Game of the Year Edition	Epic	11시간 5분	15시간 31분	25시간 22분"
"Pillars of Eternity	Steam	36시간 19분	64시간 7분	110시간 44분"
"Death Stranding	Epic	40시간 31분	60시간 3분	112시간 59분"
"Rise of the Tomb Raider	Epic	14시간 11분	23시간 42분	38시간 38분"
"Alien: Isolation	Epic	18시간 16분	22시간 32분	34시간 4분"
"Capcom Arcade Stadium	Steam	1시간 23분	10시간 20분	29시간 4분"
"Pillars of Eternity II: Deadfire	Steam	41시간 52분	66시간 5분	98시간 16분"
"Persona 5 Royal	Steam	101시간 16분	122시간 44분	140시간 33분"
"Samurai Shodown NeoGeo Collection: Limited Edition Pack	Epic	3시간 16분	6시간 7분	31시간 8분"
"The Blackwell Deception	Steam	4시간 29분	5시간 4분	6시간 6분"
"Idle Champions of the Forgotten Realms	Steam	39시간 29분	87시간 20분	5811시간 40분"
"Silent Storm: Sentinels	Steam	23시간 45분	31시간 28분	33시간 0분"
"Project Zomboid	Steam	60시간 20분	157시간 22분	433시간 6분"
"Realms of Arkania 2 - Star Trail Classic	Steam	29시간 1분	47시간 45분	60시간 0분"
"Geometry Dash	Steam Family Sharing	22시간 5분	209시간 43분	1301시간 58분"
"Monster Hunter: World	Steam	46시간 29분	115시간 20분	429시간 31분"
"Ape Out	Epic	2시간 9분	3시간 4분	9시간 30분"
"Hitman: Absolution	Steam	12시간 19분	19시간 46분	37시간 0분"
"Severed Steel	Epic	3시간 1분	6시간 14분	21시간 31분"
"Control	Steam	12시간 45분	25시간 17분	38시간 46분"
"Stellar Blade	Steam	22시간 39분	37시간 30분	57시간 21분"
"L.A. Noire	Steam	22시간 11분	28시간 59분	42시간 14분"
"Door Kickers	Steam	7시간 37분	17시간 7분	37시간 45분"
"Tormentor X Punisher	Epic	2시간 55분	--	16시간 45분"
"Assassin's Creed Unity	Steam	17시간 12분	35시간 20분	80시간 5분"
"Cities: Skylines	Epic	27시간 30분	68시간 32분	182시간 9분"
"EVE burst error	에뮬	11시간 45분	--	25시간 50분"
"This Is the Police 2	Steam	21시간 7분	25시간 52분	29시간 52분"
"Metal Gear Solid V: The Phantom Pain	Steam	45시간 41분	81시간 9분	163시간 18분"
"XCOM: Chimera Squad	Steam	21시간 20분	27시간 14분	64시간 28분"
"Wartales	Steam	43시간 43분	76시간 5분	146시간 35분"
"Crypt of the NecroDancer	Steam	13시간 59분	26시간 7분	393시간 21분"
"Neverwinter Nights: Diamond	GOG	71시간 0분	99시간 46분	105시간 0분"
"Please, Don't Touch Anything	Steam	1시간 14분	1시간 56분	2시간 59분"
"The First Descendant	Steam	35시간 54분	64시간 13분	98시간 29분"
"Orwell: Keeping an Eye on You	Steam	4시간 33분	6시간 11분	9시간 39분"
"XCOM: Enemy Unknown	Steam	26시간 41분	37시간 57분	70시간 19분"
"Yooka-Laylee and the Impossible Lair	Epic	12시간 59분	16시간 2분	21시간 42분"
"Deus Ex: Game of the Year Edition	GOG	22시간 56분	28시간 42분	39시간 5분"
"X-COM: UFO Defense	GOG	38시간 40분	49시간 0분	71시간 43분"
"State of Decay	Steam	15시간 30분	22시간 33분	36시간 52분"
"Darkest Dungeon	Steam	56시간 45분	85시간 7분	128시간 14분"
"Betrayal at Krondor	GOG	50시간 5분	57시간 27분	70시간 57분"
"Shadow Warrior	Steam	12시간 16분	15시간 27분	35시간 54분"
"This Is the Police	Steam	19시간 54분	23시간 38분	32시간 54분"
"Ark: Survival Evolved	Epic	68시간 46분	313시간 44분	940시간 0분"
"Deus Ex: Invisible War	GOG	9시간 4분	13시간 27분	18시간 58분"
"F.E.A.R. 2: Project Origin	Steam	7시간 6분	8시간 42분	10시간 52분"
"Prey	Epic	16시간 22분	27시간 54분	46시간 18분"
"Eye of the Beholder	GOG	10시간 53분	13시간 27분	19시간 31분"
"The Blackwell Legacy	Steam	2시간 53분	3시간 18분	4시간 32분"
"Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition	Steam	57시간 33분	89시간 55분	129시간 58분"
"For the King	Epic	11시간 56분	34시간 26분	75시간 8분"
"BioShock 2 Remastered	Epic	10시간 34분	14시간 24분	23시간 44분"
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist	Steam	25 분	1시간 14분	1시간 45분"
"Mahjong Soul	Steam	--	69시간 0분	--"
"The Outer Worlds	Epic	13시간 20분	26시간 38분	40시간 40분"
"Mangui	Steam	--	--	--"
"Tropico 5	Steam	22시간 38분	41시간 8분	87시간 41분"
"The Blackwell Epiphany	Steam	6시간 33분	7시간 38분	11시간 13분"
"Jagged Alliance 2	GOG	10시간 0분	20시간 0분	57시간 18분"
"BioShock Infinite	Steam	11시간 32분	16시간 5분	28시간 32분"
